"A1","Directa","Directa","Abrupte","Abrupte","824"
"C2","Directa","Directa","Abrupte","Abrupte","843"
"C1","Directa","Directa","Abrupte","Abrupte","847"
"B3","Directa","Directa","Abrupte","Abrupte","854"
"B3","Directa","Directa","Abrupte","Abrupte","863"
"B3","Directa","Directa","Abrupte","Abrupte","864"
"B2","Directa","Directa","Abrupte","Abrupte","869"
"A2","Directa","Directa","Abrupte","Abrupte","886"
"A2","Directa","Directa","Abrupte","Abrupte","895"
"A2","Directa","Directa","Abrupte","Abrupte","896"
"A2","Directa","Directa","Abrupte","Abrupte","897"
"A2","Directa","Directa","Abrupte","Abrupte","898"
"A2","Directa","Directa","Abrupte","Abrupte","900"
"A2","Directa","Directa","Abrupte","Abrupte","903"
"A2","Directa","Directa","Abrupte","Abrupte","904"
"A1","Directa","Inversa","Abrupte","Abrupte","909"
"A2","Directa","Directa","Abrupte","Abrupte","980"
"A2","Directa","Directa","Abrupte","Abrupte","985"
"A2","Directa","Directa","Abrupte","Abrupte","988"
"A2","Directa","Directa","Abrupte","Abrupte","989"
"A1","Directa","Directa","Abrupte","Abrupte","991"
"A1","Directa","Directa","Abrupte","Abrupte","992"
"A2","Directa","Directa","Abrupte","Abrupte","993"
"A2","Directa","Directa","Abrupte","Abrupte","994"
"A2","Directa","Directa","Abrupte","Abrupte","996"
"A2","Directa","Directa","Abrupte","Abrupte","998"
"A2","Directa","Directa","Abrupte","Abrupte","999"
"A2","Directa","Directa","Abrupte","Abrupte","1001"
"A2","Directa","Directa","Abrupte","Abrupte","1003"
"B1","Directa","Directa","Abrupte","Abrupte","1042"
"B1","Directa","Directa","Abrupte","Abrupte","1045"
"B1","Directa","Directa","Abrupte","Abrupte","1047"
"B3","Directa","Directa","Abrupte","Abrupte","1071"
"B1","Directa","Directa","Abrupte","Abrupte","1168"
"C2","Directa","Directa","Abrupte","Abrupte","1169"
"C1","Directa","Directa","Abrupte","Abrupte","1170"
"C1","Directa","Directa","Abrupte","Abrupte","1171"
"C1","Directa","Directa","Abrupte","Abrupte","1172"
"C2","Directa","Directa","Abrupte","Abrupte","1184"
"B3","Directa","Directa","Abrupte","Abrupte","1187"
"B3","Directa","Directa","Abrupte","Abrupte","1188"
"B3","Directa","Directa","Abrupte","Abrupte","1190"
"B2","Directa","Directa","Abrupte","Abrupte","1198"
"B2","Directa","Directa","Abrupte","Abrupte","1199"
"A2","Directa","Directa","Abrupte","Abrupte","1201"
"Or Ib","Directa","Directa","Abrupte","Abrupte","2122"
"Or Ia","Directa","Directa","Abrupte","Abrupte","2124"
"Or Ia","Directa","Inversa","Abrupte","Abrupte","2125"
"Or Ib","Directa","Directa","Abrupte","Abrupte","2133"
"Or Ia","Directa","Directa","Abrupte","Abrupte","2135"
"Or Ia","Directa","Directa","Abrupte","Abrupte","2136"
"Or Ia","Directa","Directa","Abrupte","Abrupte","2137"
"Or Ia","Inversa","Inversa","Abrupte","Semiabrupte","2143"
"Or Ia","Directa","Directa","Abrupte","Abrupte","2145"
